ActualOperatingYear,ActualorExpectedCompletionYear,CarbonMonoxideCO,Classification,CoalplantCO2eequivalency,Gas-poweredvehiclesequivalency,GreenhouseGasesCO2e,HazardousAirPollutantsHAPs,HazardousAirPollutantsHAPspotentiallbsperyear,IndustrySector,MortalitycostofadditionalCO2edeaths,NitrogenOxidesNOx,OperatingStatus,OperatingStatusSourceDocuments,OperatingStatusSourceDocuments_OLD,ParticulateMatterPM25,PermittingandEmissionsAccountingNotes,ProjectDescription,ProjectType,Published,ResearchNotes,SocialcostofadditionalCO2eLowerEstimate,SocialcostofadditionalCO2eUpperEstimate,SulfurDioxideSO2,VolatileOrganicCompoundsVOC,created_by,id,id_qaqc,modified_by,project_name,xata,ProductType,ConstructionStatusLastUpdated,ProjectCostmillion,CurrentExpectedOperatingYear,OriginalExpectedOperatingYear,TotalWetlandsAffectedPermanentlyacres,TotalWetlandsAffectedTemporarilyacres,PlasticsInventory,ConstructionStatusLastChecked,PlasticsInventory_ToAdd
,2021,63.05,New,0.04,37350.0,184861.0,,,Petrochemicals and Plastics,38.0,74.18,Canceled,[],,10.18,"emissions from T5 permit app, p11; ",Initial construction of the plant.,Plastic Resin Manufacturing,True,"canceled in 2019: https://www.wwltv.com/article/news/local/chinese-company-drops-plans-for-new-chemical-plant-in-st-james-parish/289-2e2f83de-1ff1-4d4b-a30e-2ecedddd03ed https://www.opportunitylouisiana.gov/led-news/news-releases/news/2018/11/16/wanhua-selects-louisiana-site-for-$1.25-billion-chemical-complex

https://en.whchem.com/cmscontent/534.html",8552859.0,31863594.0,0.8,73.1,Lottie Mitchell,6510,6510,Lottie Mitchell,Wanhua MDI Complex - Initial Construction,"{'createdAt': '2023-06-20T16:01:14.292Z', 'updatedAt': '2024-11-22T03:21:37.296628Z', 'version': 52}",MDI,2023-06-20T00:00:00Z,1250.0,,2021,,,,,
,Unknown,,Expansion,,,,,,Oil,,,Proposed,"[{'id': 'snadcospg53cfd0bbl0anbsfts', 'name': '2021.03.16_Sea 3 Terminal_Petition for Declaratory Order.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 438777, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/o6rv5bdhu13d5epe2ssdml51j0'}, {'id': '2v9cofa8m9501atv98ekh1etoc', 'name': '2022.04.21_Sea 3 Terminal_Denial of Declaratory Order.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 2331896, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/351ptk4h2945v62bfdk2n42vik'}]","{'name': None, 'file_name': '2022.04.21_Sea 3 Terminal_Denial of Declaratory Order.pdf', 'url': 'https://api.oilandgaswatch.org/d/ab/37/ab378fe9d77b4d0f880048259204d027.1687281939.pdf'}, {'name': None, 'file_name': '2021.03.16_Sea 3 Terminal_Petition for Declaratory Order.pdf', 'url': 'https://api.oilandgaswatch.org/d/80/42/80427f1c90ba43cf803560b599696f69.1687281932.pdf'}",,,"This expansion would add freight rail imports of liquefied propane gas (LPG) to the facility. The facility would accept as many as 16 tanker cars of LPG per day, which would offload to six new 90,000 gallon horizontal storage tanks using newly construction piping. On April 21, 2022, the Rhode Island Energy Facility Siting Board declared that the proposed expansion qualifies as a major alteration to the facility, meaning Sea 3 must submit a full application and go through the environmental review process before the expansion proceeds.",Crude Oil Terminal,True," https://ripuc.ri.gov/efsb/2021_SB_03.html

https://upriseri.com/wp-content/uploads/2021/05/Petition-for-Declaratory-Order-Blackline.pdf",,,,,Lottie Mitchell,6513,6513,Lottie Mitchell,Sea 3 Gas-by-Rail Expansion,"{'createdAt': '2023-06-20T16:35:11.252Z', 'updatedAt': '2024-04-08T17:49:50.652635Z', 'version': 8}",,2023-06-20T00:00:00Z,,Unknown,,,,,,
,2026,,New,,,,,,Carbon Capture Use and Storage (CCUS),,,Proposed,[],,,,"Construction of the Bayou Bend CCS project, which would consist of multiple CO2 injection wells located both on- and off-shore of Chambers and Jefferson Counties, Texas. The first injection is planned for 2026. In early 2024, Bayou Bend commenced drilling two stratigraphic test wells, one onshore and one offshore.",Carbon Sequestration Site or Hub,True,"PB 3/5/24: starting drilling test wells: https://www.offshore-mag.com/energy-transition/article/14305944/talos-energy-first-ccs-well-drilling-offshore-texas

https://www.talosenergy.com/operations/carbon-capture-and-sequestration/default.aspx

https://www.energyintel.com/00000186-b787-d569-a7a6-f7d71a1c0000

https://www.energyintel.com/00000186-9f43-d24f-afa6-fff3bd3b0000

https://www.talosenergy.com/investor-relations/news/news-details/2023/Bayou-Bend-Expands-Carbon-Capture-Project-to-Onshore-Southeast-Texas/default.aspx",,,,,Alexandra Shaykevich,6519,6519,Alexandra Shaykevich,Bayou Bend CCS Project,"{'createdAt': '2023-06-20T17:07:06.614Z', 'updatedAt': '2024-04-08T17:49:50.772014Z', 'version': 8}",,2023-06-20T00:00:00Z,,2026,,,,,,
,2026,,New,,,,,,Carbon Capture Use and Storage (CCUS),,,Proposed,[],,,,"Construction of the Harvest Bend CCS Hub, which would include multiple underground storage sites that span over 110,000 acres onshore and an estimated storage capacity of around 620 million metric tons of carbon dioxide.",Carbon Sequestration Site or Hub,True,"pg 23
https://s201.q4cdn.com/120347489/files/doc_presentations/2023/2023.03.06-Talos-Energy-March-2023-Investor-Presentation-vFINAL.pdf https://www.talosenergy.com/operations/carbon-capture-and-sequestration/default.aspx

https://www.prnewswire.com/news-releases/enlink-midstream-and-talos-energy-announce-complete-carbon-capture-transportation-and-sequestration-services-solution-301483094.html

https://www.prnewswire.com/news-releases/talos-energy-announces-lease-agreement-for-major-carbon-sequestration-hub-in-mississippi-river-industrial-corridor-301483071.html",,,,,Alexandra Shaykevich,6521,6521,Alexandra Shaykevich,Harvest Bend CCS Project,"{'createdAt': '2023-06-20T17:58:18.613Z', 'updatedAt': '2024-04-08T17:49:50.879392Z', 'version': 7}",,,,2026,,,,,,
,2026,,New,,,,,,Carbon Capture Use and Storage (CCUS),,,Proposed,[],,,,Construction of a new sequestration site with an estimated storage capacity of around 25 million metric tons of carbon dioxide. Talos Energy plans to inject between 0.5 and 1.5 million metric tons annually sourced from the nearby Freeport LNG terminal.,Carbon Sequestration Site or Hub,True,"https://www.talosenergy.com/operations/carbon-capture-and-sequestration/default.aspx

https://s201.q4cdn.com/120347489/files/doc_presentations/2023/2023.03.06-Talos-Energy-March-2023-Investor-Presentation-vFINAL.pdf ",,,,,Alexandra Shaykevich,6522,6522,Courtney Bernhardt,Freeport/Talos/Storegga Injection Site - Initial Construction,"{'createdAt': '2023-06-20T18:54:08.899Z', 'updatedAt': '2024-04-09T19:39:40.247816Z', 'version': 10}",,,,2026,,,,,,
,2026,,New,,,,,,Carbon Capture Use and Storage (CCUS),,,Proposed,[],,,,"Construction of the Coastal Bend CCS Hub, which would include multiple underground storage sites that span over 13,000 acres onshore and an estimated storage capacity of around 50-100 million metric tons of carbon dioxide.",Carbon Sequestration Site or Hub,True,"https://s201.q4cdn.com/120347489/files/doc_presentations/2023/2023.03.06-Talos-Energy-March-2023-Investor-Presentation-vFINAL.pdf

https://www.talosenergy.com/operations/carbon-capture-and-sequestration/default.aspx

https://www.prnewswire.com/news-releases/talos-energy-announces-fourth-quarter-and-full-year-2022-results-provides-2023-guidance-and-announces-major-ccs-acreage-expansion-in-southeast-texas-301758796.html ",,,,,Alexandra Shaykevich,6523,6523,Alexandra Shaykevich,Coastal Bend CCS Project,"{'createdAt': '2023-06-20T19:08:02.233Z', 'updatedAt': '2024-04-08T17:49:51.124131Z', 'version': 7}",,,,2026,,,,,,
2024,2023,94.64,Expansion,,,,,,Petrochemicals and Plastics,,14.8,Operating,[],,1.43,,"Construction of a new 1.3 million metric ton per year acetic acid plant at the Clear Lake complex. Acetic acid is produced from methanol and used to make other chemicals, like vinyl acetate monomer, a common ingredient in packaging, coatings, and paints.",Other Organic Chemicals,True,"AS 4/25/24 - startup occurred in March 2024
https://www.celanese.com/news-and-media/2024/april/celanese-completes-series-of-strategic-actions-across-its-global-acetyl-chain#:~:text=The%20startup%20of%20a%20new,acid%20facility%20in%20the%20world.

delayed from 2023 ""Celanese had mechanically completed the project and had begun commissioning when it discovered defects in some of the high-metallurgy components from the manufacturing process of its supplier, the company said. These parts must be replaced before start-up.""
https://www.icis.com/explore/resources/news/2008/10/06/9160653/a-guide-to-major-chemical-disasters-worldwide/?news_id=10912971
----
https://www.icis.com/explore/resources/news/2023/05/09/10883548/us-celanese-mechanically-completes-clear-lake-acetic-acid-plant/ ",,,0.97,23.95,Alexandra Shaykevich,6525,6525,Alexandra Shaykevich,Clear Lake Acetic Acid Expansion,"{'createdAt': '2023-06-21T21:24:46.781Z', 'updatedAt': '2024-04-26T13:14:56.951724Z', 'version': 6}",,2024-04-26T13:14:56.457Z,,,2023,,,,,
2023/2024,2023/2024,5.1,Expansion,0.0,2985.0,14772.0,,,Petrochemicals and Plastics,3.0,23.17,Operating,[],,0.97,"emissions from 6/15/23 application, pg 26 and 27 -- SUM of both project deltas

AS 2/28/24 - emissions totals same as in final permits, except VOC 0.01+ higher for project jupiter (see pg 11, permit 2923-V7); GHGs from permit app","Project Jupiter involves installing a new 6-inch diameter chlorine pipeline, refrigeration unit, and other equipment to increase chlorine production. The new pipeline will allow chlorine to be transferred from OxyChem's Convent facility to the Geismar facility. The Hydrogen Recovery Project involves installing a new burner and a 10-inch carbon steel pipeline to reduce venting of hydrogen into the atmosphere.",Other Inorganic Chemicals,True,"AS 9/26/24 - operating status updated based on estimates provided in permit application; 3100-V5 permit app (renewal) submitted 4/15/24 and still pending as of 9/26 https://edms.deq.louisiana.gov/app/doc/view?doc=14256568

Chlorine and caustic soda process units (2921-V6)
construction to commence 7/31/23 - operations 12/31/2023 (app pg 32)

EDC & Perc Process Units (3100-V3)
construction to commence 9/30/23 - operations 3/31/2024 (app pg 60)
existing cap: 622 mmlb/yr

Utilities
construction to commence 7/31/23 - operations 8/7/2023 (app pg 96) ",683448.0,2546178.0,0.07,25.58,Alexandra Shaykevich,6528,6528,AS,OxyChem Geismar Improvements Projects (Project Jupiter and Hydrogen Recovery Project),"{'createdAt': '2023-06-22T17:19:25.396Z', 'updatedAt': '2024-09-26T17:46:53.876511Z', 'version': 61}",Chlorine,2024-09-26T15:44:07.404Z,,2023/2024,,,,True,,
2020,2020,71.18,Expansion,,,,,,Petrochemicals and Plastics,,19.87,Operating,[],,3.29,"CM 6/26/23: permit tech review, change in allowable emission rates column",A new polypropylene production line with a 450 kiloton per year capacity.,Plastic Resin Manufacturing,True,https://www.braskem.com.br/usa/news-detail/braskem-completes-construction-of-polypropylene-production-facility-in-la-porte-texas https://www.braskem.com.br/usa/news-detail/braskem-approves-construction-of-delta-the-largest-polypropylene-production-line-in-the-americas-in-la-porte-texas,,,0.36,17.5,Lottie Mitchell,6553,6553,Lottie Mitchell,Braskem La Porte Delta Expansion,"{'createdAt': '2023-06-26T17:56:05.446Z', 'updatedAt': '2024-10-31T21:13:58.540802Z', 'version': 6}",Polypropylene,2023-06-26T00:00:00Z,675.0,,,,,,,
2019,2019,57.9,Expansion,,,,,,Petrochemicals and Plastics,,31.21,Operating,[],,2.73,emissions from 2021 technical review,"Expansion of polyethylene production capacity by 65%, bringing total production capacity at the plant to 1.7 million tons per year.",Plastic Resin Manufacturing,True,https://corporate.exxonmobil.com/news/news-releases/2019/0724_exxonmobil-begins-production-on-beaumont-high-performance-polyethylene-line ,,,5.71,47.66,Lottie Mitchell,6557,6557,Lottie Mitchell,Beaumont Polyethylene Plant Expansion,"{'createdAt': '2023-06-26T19:02:13.253Z', 'updatedAt': '2024-04-08T17:49:51.605494Z', 'version': 5}",Polyethylene,2023-06-26T00:00:00Z,,,,,,,,
2017/2020,2017/2020,117.21,Expansion,,,,,,Petrochemicals and Plastics,,32.09,Operating,[],,2.09,"emissions from 2020 tech review, baseline actual to allowable",Construction of a bimodal polyethylene unit. An as-built amendment was issued in 2020 that increased high density polyethylene (HDPE) manufacturing capacity from 1.4 million pounds per year to 1.65 million pounds per year at the unit.,Plastic Resin Manufacturing,True,https://www.ineos.com/sites/battleground/ ,,,1.21,151.99,Lottie Mitchell,6562,6562,Alexandra Shaykevich,Ineos Battleground - New HDPE Line,"{'createdAt': '2023-06-26T20:00:05.662Z', 'updatedAt': '2024-04-08T17:49:51.712412Z', 'version': 5}",HDPE,,,,,,,,,
,Unknown,,New,,,,,,Ammonia and Synthetic Fertilizers,,,Proposed,[],,,,Initial construction of the plant.,Ammonia or Fertilizer,True,"feasibility study completed by year-end 2023 Not clear how the ammonia will be used: ""In line with Yara Clean Ammonia’s strategy, we are working systematically to develop asset-backed supply to decarbonize agriculture as well as serving new clean ammonia segments such as shipping fuel, power production and ammonia as a hydrogen carrier""
https://www.yara.com/corporate-releases/basf-and-yara-to-evaluate-low-carbon-blue-ammonia-project-at-u.s.-gulf-coast/",,,,,Lottie Mitchell,6582,6582,Keene Kelderman,Yara/BASF Gulf Coast Blue Ammonia Plant - Initial Construction,"{'createdAt': '2023-06-30T18:06:05.393Z', 'updatedAt': '2024-04-08T17:49:51.818935Z', 'version': 6}","Blue Ammonia, Ammonia Fuel, Blue Hydrogen, Ammonia Fertilizer",2023-06-30T00:00:00Z,,Unknown,,,,,,
,Unknown,,New,,,,,,Petrochemicals and Plastics,,,Proposed,[],,,,Initial construction of the facility.,Chemical Recycling Plant,True,estimated start date is september 2023 https://www.theadvocate.com/baton_rouge/news/business/tencate-grass-may-build-artificial-turf-plant-in-baton-rouge/article_557fa0c6-0f83-11ee-95de-2f72df8f05e4.html ,,,,,Lottie Mitchell,6585,6585,Lottie Mitchell,Tencate Chemical Recycling Facility - Initial Construction,"{'createdAt': '2023-06-30T18:58:03.962Z', 'updatedAt': '2024-04-08T17:49:51.955955Z', 'version': 5}",,2023-06-30T00:00:00Z,1.65,Unknown,,,,,,
,2026,14.48,Expansion,0.03,22045.0,109108.0,,,Oil,22.0,13.89,Proposed,[],,6.82,CM 3/19/24: emissions from final permit p6,The SAF Blendstock Fractionation Project would involve modification to the refinery to produce sustainable aviation fuel using diesel already produced on site. It would involve re-purposing of existing equipment as well as the addition of new emission units.,Renewable Diesel or Gasoline Refinery,True,"commence construction in 2024, commence operations in 2026 according to permit application ",5048038.0,18806417.0,16.67,36.07,Lottie Mitchell,6609,6609,Lottie Mitchell,St Charles Refinery - SAF Blendstock Fractionation Project,"{'createdAt': '2023-07-07T19:37:28.654Z', 'updatedAt': '2024-07-30T17:51:14.327014Z', 'version': 46}",,2024-03-19T21:16:36.359Z,,2026,,,,,,
,,,Expansion,,,,,,Petrochemicals and Plastics,,,Unknown,[],,,,"Increase of PET production at the plant using already-permitted equipment and emissions controls. Production could increase by as much as 52,925 metric tons per year.",Plastic Resin Manufacturing,False, CM 1/29/24: project/facility private bc TV renewal does not update any conditions and increase in production is not permitted as an expansion. Permittee has not requested change in permit limits or conditions and plans to use existing equipment,,,,,Lottie Mitchell,6611,6611,Keene Kelderman,Cedar Creek Site - Expansion,"{'createdAt': '2023-07-07T20:11:28.962Z', 'updatedAt': '2024-05-30T13:12:15.866524Z', 'version': 8}",Polyethylene Terephthalate (PET),,,,,,,,,
,2026,,New,,,,,,"Other, Petrochemicals and Plastics",,,Canceled,[],,,,"Construction of three separate facilities to convert municipal solid waste into renewable jet fuel, including a biorefinery and sorting and processing facilities. ","Chemical Recycling Plant, Renewable Diesel or Gasoline Refinery",True,"AS - updated project description, type, and status; website no longer works and company filed for bankruptcy - Nevada plant is shut down, so calling this one canceled

https://www.fulcrum-bioenergy.com/trinity-fuels-plant https://www.fulcrum-bioenergy.com/trinity-fuels-plant

job number from 313 app, not website",,,,,Lottie Mitchell,6616,6616,AS,Fulcrum Trinity Fuels Biorefinery - Initial Construction,"{'createdAt': '2023-07-10T15:14:12.724Z', 'updatedAt': '2024-11-21T19:03:01.645944Z', 'version': 8}",,2024-11-19T13:14:02.075Z,800.0,,2026,,,,,
2016,2016,,Expansion,,,,,,Petrochemicals and Plastics,,,Operating,[],,,,"Expansion of ethylene production capacity by 225,000 metric tons per year.",Ethane Cracker,True,https://www.theadvocate.com/baton_rouge/news/business/dow-plans-119m-plaquemine-plant-retrofit-to-leverage-new-technology/article_8ca5d55a-c358-11e9-8d65-f39fb6b0bd1f.html ,,,,,Lottie Mitchell,6618,6618,Alexandra Shaykevich,Dow Chemical Plaquemine - Ethylene Expansion,"{'createdAt': '2023-07-10T19:10:48.827Z', 'updatedAt': '2024-04-08T17:49:52.393624Z', 'version': 5}",Ethylene,2023-07-10T00:00:00Z,,,,,,,,
2021,2021,84.43,Expansion,,,,,,Petrochemicals and Plastics,,39.33,Operating,[],,8.79,CM 7/10/23: emissions from TV permit p5 'change' column,"A retrofit project that would increase propylene production at the plant by 100,000 metric tons per year.",Propylene Plant,True,"OGJ article says operation was scheduled to start by end of 2021:
https://www.ogj.com/refining-processing/article/14038550/dow-plans-retrofit-of-louisiana-mixedfeed-cracker https://www.theadvocate.com/baton_rouge/news/business/dow-plans-119m-plaquemine-plant-retrofit-to-leverage-new-technology/article_8ca5d55a-c358-11e9-8d65-f39fb6b0bd1f.html",,,38.31,15.68,Lottie Mitchell,6620,6620,Alexandra Shaykevich,Dow Chemical Plaquemine - Propylene Retrofit,"{'createdAt': '2023-07-10T21:27:35.022Z', 'updatedAt': '2024-04-08T17:49:52.505328Z', 'version': 5}",Propylene,2023-07-10T00:00:00Z,119.0,,,,,,,
